region_order,regioncode,period,weekend_date,cw_sales,py_sales,sales_growth,cw_traffic,py_traffic,traffic_growth,closing_ratio,py_reported,py_closing_ratio,rank,TIV
1,26,201604,4/3/2016,670,647,0.0355,1851,1642.222266,0.127131229,0.362,739,0.449999988,1,
2,36,201604,4/3/2016,428,421,0.0166,1380,1480.000025,-0.067567583,0.3101,518,0.349999994,1,
3,34,201604,4/3/2016,1066,1012,0.0534,3527,3229.411731,0.092149374,0.3022,1098,0.340000004,1,
4,24,201604,4/3/2016,352,475,-0.2589,1110,1323.684227,-0.161431422,0.3171,503,0.379999995,1,
5,32,201604,4/3/2016,881,1008,-0.126,3087,3288.571485,-0.061294542,0.2854,1151,0.349999994,1,
6,42,201604,4/3/2016,359,359,0,1230,1148.571448,0.070895504,0.2919,402,0.349999994,1,
7,48,201604,4/3/2016,132,146,-0.0959,666,566.6666441,0.175294164,0.1982,153,0.270000011,1,
8,44,201604,4/3/2016,1037,1016,0.0207,3708,3425.000077,0.082627713,0.2797,1096,0.319999993,1,
1,26,201604,4/10/2016,1075,1063,0.0113,2570,2504.444511,0.02617566,0.4183,1127,0.449999988,2,
2,36,201604,4/10/2016,569,621,-0.0837,1611,2062.857178,-0.219044335,0.3532,722,0.349999994,2,
3,34,201604,4/10/2016,1463,1472,-0.0061,4475,4649.999951,-0.037634398,0.3269,1581,0.340000004,2,
4,24,201604,4/10/2016,524,578,-0.0934,1477,1628.947389,-0.093279494,0.3548,619,0.379999995,2,
5,32,201604,4/10/2016,1111,1146,-0.0305,3393,3651.428634,-0.070774664,0.3274,1278,0.349999994,2,
6,42,201604,4/10/2016,446,482,-0.0747,1235,1497.142883,-0.175095434,0.3611,524,0.349999994,2,
7,48,201604,4/10/2016,161,199,-0.191,646,748.1481184,-0.136534619,0.2492,202,0.270000011,2,
8,44,201604,4/10/2016,1344,1378,-0.0247,4725,4381.250098,0.07845932,0.2844,1402,0.319999993,2,
1,26,201604,4/17/2016,1162,1053,0.1035,2926,2484.44451,0.177728055,0.3971,1118,0.449999988,3,
2,36,201604,4/17/2016,634,607,0.0445,1866,1994.285748,-0.064326663,0.3398,698,0.349999994,3,
3,34,201604,4/17/2016,1539,1536,0.002,4977,4888.235243,0.018158855,0.3092,1662,0.340000004,3,
4,24,201604,4/17/2016,603,600,0.005,1648,1676.315811,-0.016891692,0.3659,637,0.379999995,3,
5,32,201604,4/17/2016,1111,1098,0.0118,3336,3548.571489,-0.059903398,0.333,1242,0.349999994,3,
6,42,201604,4/17/2016,436,491,-0.112,1321,1525.714312,-0.134176045,0.3301,534,0.349999994,3,
7,48,201604,4/17/2016,193,213,-0.0939,866,825.9258931,0.048520221,0.2229,223,0.270000011,3,
8,44,201604,4/17/2016,1371,1367,0.0029,4577,4337.500097,0.055216115,0.2995,1388,0.319999993,3,
1,26,201604,4/24/2016,1206,1081,0.1156,2929,2695.555627,0.086603434,0.4117,1213,0.449999988,4,
2,36,201604,4/24/2016,662,673,-0.0163,1924,2068.571464,-0.069889519,0.3441,724,0.349999994,4,
3,34,201604,4/24/2016,1714,1678,0.0215,5182,5152.941122,0.00563928,0.3308,1752,0.340000004,4,
4,24,201604,4/24/2016,662,726,-0.0882,1802,1913.157919,-0.0581018,0.3674,727,0.379999995,4,
5,32,201604,4/24/2016,1266,1253,0.0104,3835,4022.857211,-0.046697459,0.3301,1408,0.349999994,4,
6,42,201604,4/24/2016,510,537,-0.0503,1545,1648.571457,-0.062824973,0.3301,577,0.349999994,4,
7,48,201604,4/24/2016,206,231,-0.1082,798,885.18515,-0.098493688,0.2581,239,0.270000011,4,
8,44,201604,4/24/2016,1426,1447,-0.0145,4980,4671.875104,0.065953153,0.2863,1495,0.319999993,4,
1,26,201604,5/1/2016,1492,1306,0.1424,3327,3204.444529,0.038245465,0.4485,1442,0.449999988,5,
2,36,201604,5/1/2016,718,709,0.0127,1982,2140.000036,-0.073831791,0.3623,749,0.349999994,5,
3,34,201604,5/1/2016,2183,1997,0.0931,6113,6199.999935,-0.014032248,0.3571,2108,0.340000004,5,
4,24,201604,5/1/2016,791,768,0.0299,1689,2044.736868,-0.173976844,0.4683,777,0.379999995,5,
5,32,201604,5/1/2016,1272,1243,0.0233,3728,3868.571494,-0.036336796,0.3412,1354,0.349999994,5,
6,42,201604,5/1/2016,598,528,0.1326,1505,1662.857171,-0.094931287,0.3973,582,0.349999994,5,
7,48,201604,5/1/2016,221,228,-0.0307,781,922.2221856,-0.153132496,0.283,249,0.270000011,5,
8,44,201604,5/1/2016,1658,1498,0.1068,5105,4721.875106,0.081138295,0.3248,1511,0.319999993,5,
1,26,201605,5/8/2016,583,483,0.207,1547,1417.777815,0.091144172,0.3769,638,0.449999988,1,
2,36,201605,5/8/2016,420,403,0.0422,1349,1262.857164,0.068212651,0.3113,442,0.349999994,1,
3,34,201605,5/8/2016,1211,1092,0.109,3514,3517.647022,-0.001036779,0.3446,1196,0.340000004,1,
4,24,201605,5/8/2016,308,302,0.0199,856,860.5263266,-0.005259951,0.3598,327,0.379999995,1,
5,32,201605,5/8/2016,893,804,0.1107,2565,2614.285759,-0.018852476,0.3481,915,0.349999994,1,
6,42,201605,5/8/2016,391,336,0.1637,1154,1074.285733,0.074202109,0.3388,376,0.349999994,1,
7,48,201605,5/8/2016,141,123,0.1463,498,496.2962766,0.003432876,0.2831,134,0.270000011,1,
8,44,201605,5/8/2016,1147,1106,0.0371,3779,3415.625076,0.106386069,0.3035,1093,0.319999993,1,
1,26,201605,5/15/2016,896,735,0.219,2167,1962.222274,0.104360107,0.4135,883,0.449999988,2,
2,36,201605,5/15/2016,599,545,0.0991,1746,1745.714315,0.000163649,0.3431,611,0.349999994,2,
3,34,201605,5/15/2016,1658,1517,0.0929,4666,4741.176421,-0.015856069,0.3553,1612,0.340000004,2,
4,24,201605,5/15/2016,587,585,0.0034,1751,1655.263179,0.057837825,0.3352,629,0.379999995,2,
5,32,201605,5/15/2016,1178,1246,-0.0546,3507,3902.857209,-0.101427541,0.3359,1366,0.349999994,2,
6,42,201605,5/15/2016,517,455,0.1363,1489,1457.142882,0.021862728,0.3472,510,0.349999994,2,
7,48,201605,5/15/2016,146,156,-0.0641,525,637.0370117,-0.17587206,0.2781,172,0.270000011,2,
8,44,201605,5/15/2016,1373,1301,0.0553,4618,4334.375097,0.065436169,0.2973,1387,0.319999993,2,
1,26,201605,5/22/2016,1509,1791,-0.1575,3590,5940.000157,-0.395622912,0.4203,2673,0.449999988,3,
2,36,201605,5/22/2016,775,1097,-0.2935,2176,4582.857221,-0.525187041,0.3562,1604,0.349999994,3,
3,34,201605,5/22/2016,2090,2433,-0.141,6068,10020.58813,-0.394446721,0.3444,3407,0.340000004,3,
4,24,201605,5/22/2016,795,982,-0.1904,2112,3686.842152,-0.427152041,0.3764,1401,0.379999995,3,
5,32,201605,5/22/2016,1464,1751,-0.1639,4324,6254.285821,-0.308634091,0.3386,2189,0.349999994,3,
6,42,201605,5/22/2016,529,754,-0.2984,1478,3225.714341,-0.541806917,0.3579,1129,0.349999994,3,
7,48,201605,5/22/2016,232,342,-0.3216,789,1592.592529,-0.504581376,0.294,430,0.270000011,3,
8,44,201605,5/22/2016,1672,2467,-0.3223,5342,11375.00025,-0.530373637,0.313,3640,0.319999993,3,
